temporal,시간의,"People don't usually think of touch as a temporal phenomenon, but it is every bit as time-based as it is spatial.",20113
every bit,전적으로,"People don't usually think of touch as a temporal phenomenon, but it is every bit as time-based as it is spatial.",20113
spatial,공간적인,"People don't usually think of touch as a temporal phenomenon, but it is every bit as time-based as it is spatial.",20113
anaolgy,유사,"There's a direct analogy between the fovea at the center of you retina and you fingertips, both of which ahve high acuity",20113
retina,망막,"There's a direct analogy between the fovea at the center of you retina and you fingertips, both of which ahve high acuity",20113
acuity,"정확성, 예리 (sharpness of vision)","There's a direct analogy between the fovea at the center of you retina and you fingertips, both of which ahve high acuity",20113
submit,"제출하다, 제시하다","Subjects must give their informed, written consent, and experimenters must submit their proposed experiments to thorough examination by overseeing bodies.",20113
propose,"제안하다, 제시하다","Subjects must give their informed, written consent, and experimenters must submit their proposed experiments to thorough examination by overseeing bodies.",20113
functionally,직무상으로,"Scientists who experiment on themselves can, functionally if not legally, aviod the resrictions.",20113
sidestep,피하다,"They can also sidestep ost of the ethical issues involved: nobody, presumably, is more aware of an experiment's potential hazards than the scientist who devised it.",20113
presumably,아마,"They can also sidestep ost of the ethical issues involved: nobody, presumably, is more aware of an experiment's potential hazards than the scientist who devised it.",20113
atypical,이례적인,There is no way to know whether the subject's responses are typical or atypical of the response of humans as a group.,20113
typical,전형적인,There is no way to know whether the subject's responses are typical or atypical of the response of humans as a group.,20113
nonetheless,그럼에도 불구하고,Nonetheless experimenting on oneself remains deeply problematic.,20113
administrative,"행정의, 관리의","In the classic model of the Sumerian economy, the temple functioned as an adminstrative authority governing commodity production, collection, and redistribution.",20113
sumerian,수메르의,"In the classic model of the Sumerian economy, the temple functioned as an adminstrative authority governing commodity production, collection, and redistribution.",20113
complex (as Noun),"(건물)단지, 복합건물",The discovery of administrative tablets from the temple conplexes at Uruk suggests that token used and consequently writing evolved as a tool of centralized economic governance.,20113
tablet,"판, 평판(平板), 점토판",The discovery of administrative tablets from the temple conplexes at Uruk suggests that token used and consequently writing evolved as a tool of centralized economic governance.,20113
governance,"관리, 통치, 지배",The discovery of administrative tablets from the temple conplexes at Uruk suggests that token used and consequently writing evolved as a tool of centralized economic governance.,20113
token,상징,The discovery of administrative tablets from the temple conplexes at Uruk suggests that token used and consequently writing evolved as a tool of centralized economic governance.,20113
