feasibility,"실행할 수 있음, (실행) 가능성",19103
proceed,진행하다,19103
rut,고정된 틀,19103
proverbial,"속담에도 나오는, 유명한, 소문이 나있는(=famous)",19103
temperamentally,기질적으로,19103
hectic,"정신없이 빠른, 빡빡한",19103
mend,"수리하다, 고치다, (문제, 불화 등을) 해결하다",19103
disembodied,무형의,19103
sonnet,소네트(10개의 음절로 구성되는 시행 14개가 일정한 운율로 이어지는 14행시),19103
fidelity,정확도,19103
admittedly,인정하건데,19103
anecdote,일화,19103
logician,논리학자,19103
draft,"징집하다, 선발하다",19103
amphibious,수륙양용의,19103
denial,"부인, 부정, 거부",19103
termite,흰개미,19103
linger,(예상보다 오래) 남다[계속되다],19103
gnaw,갉아먹다,19103
intact,"(하나도 손상되지 않고) 온전한, 전혀 다치지 않은(=undamaged)",19103
dislodge,떼어내다,19103
implant,(의학적 목적을 위해 보통 인공적인 물질을 사람의 몸에) 심다[주입하다],19103
pacifier,(유아용) 고무 젖꼭지,19103
outright,"완전한, 전면적인, 노골적인, 명백한",19103
pretence,"~인 체[척]함, 가식",19103
utterance,"(말로) 표현함, 입 밖에 냄, 발언",19103
deception,"속임, 기만, 사기(=deceit)",19103
drive out,~을 몰아내다[사라지게 하다],19103
devoid of,~이 없는,19103
flatly,"완전히(강조의 표현) + 단호히, 딱 잘라서(=absolutely)",19103
falsehood,"거짓임, 거짓말하기, 거짓말(=lie)",19103
quip,"발뺌, 핑계",19103
evasion,"회피, 모면",19103
partially,"부분적으로, 불완전하게",19103
chalet,산지 가옥,19103
avalanche,눈사태,19103
synonymous,"같은[비슷한] 뜻을 갖는, 동의어[유의어]의",19103
snub,경멸,19103
conflate,융합하다,19103
ornament,"장식품, 장신구, 장식하다",19103
project,(빛영상 등을) 비추다[투사/투영하다],19103
egalitarian,인류평등주의의,19103
defiantly,"반항적으로, 도전적으로, 교만하게",19103
