voluntarily,자발적으로,21093
out of the loop,상황을 잘 모르는,21093
go off,자리를 벗어나다,21093
reassuring,안심시키는,21093
reassure,"안심시키다, 확신시키다",21093
immigration,"이주, 이민",21093
utility maximization,효용극대화,21093
migration,"이주, 이동",21093
show off,~을 과시하다,21093
psychic,심적인,21093
ingredient cost,원료비,21093
mainstream,주류의,21093
criterion,기준 (pl.criteria),21093
e.g.,예를 들어(=for example),21093
procurement,조달,21093
cannibalize,잡아먹다,21093
segment,조각,21093
attract,"유인하다, 매혹하다",21093
motorize,동력화하다,21093
presence,존재(감),21093
manipulation,"조작, 조종",21093
locomotion,이동,21093
suggestive of,~을 암시하는,21093
rival,"~에 필적하다, ~의 라이벌이 되다",21093
impression,인상,21093
engagement,교감,21093
property,"특성, 속성",21093
substance,물질,21093
superior to,더 우수한,21093
utilization,"이용, 활용",21093
come to ~,~하게 되다,21093
empower,(~에게) 능력을 주다,21093
fashion,"형성하다, 만들다",21093
dynamics,역학,21093
accessibility,입수할 수 있음,21093
affordability,구매 비용을 감당할 수 있음,21093
distribution,유통,21093
fragmentation,파편화,21093
segment,"부문, 부분",21093
inclination,"성향, 의향",21093
supposedly,"생각하건데, 아마",21093
overlap,겹치다,21093
solidify,"확고해지다, 공고해지다",21093
sensibilities,"감성, 감수성",21093
as well as,~뿐만 아니라,21093
feed on,"~때문에 더 강화되다, ~를 먹고살다",21093
end up -ing,"~로 끝나다, ~로 결론나다",21093
package,짜임새 있게 담다,21093
retrieve,(정보를) 추출하다,21093
instantaneous,순간적인,21093
significance,중요성,21093
diminution,감소,21093
interfere with,~를 방해하다,21093
reflection,숙고,21093
subject,실험대상자,21093
supplement,보충제,21093
pitfall,함정,21093
inherent,내재한,21093
randomization,임의[무작위] 추출,21093
track record,"(개인, 기관의 모든) 기록[실적]",21093
with respect to,~과 관련하여,21093
