in anticipation of,~를 기대하여,19093
be confined to,~에 틀어박혀 있다,19093
brush aside,~을 제쳐 놓다,19093
indigenous,토착의,19093
vulgarization,상스럽게 함,19093
deterministic,결정론적인,19093
optimism,"낙관주의, 낙관론",19093
heritability,유전 가능성,19093
makeup,구성,19093
senile,노쇠한,19093
deterioration,노화,19093
strip,빼앗다,19093
tempt,"부추기다, 유혹하다",19093
notoriety,악명,19093
latently,잠재적으로,19093
actualize,실현하다,19093
rub off on,"~으로 옮겨지다, ~에게 영향을 주다",19093
by no means,결코 ~이 아닌,19093
gallop,질주하다,19093
debilitation,건강악화,19093
credible,설득력 있는,19093
not so much A as B,A가 아니라 B인,19093
hold back,"기다리다, 저지[억제]하다, 비밀로 하다.",19093
institution,"제도, 기관",19093
forefather,"조상, 선조",19093
extent,"범위, 정도",19093
in so far as,~하는 한,19093
vocation,소명,19093
stature,수준,19093
render,주다,19093
instrumentality,도움,19093
unparalleled,비할 데 없는,19093
cloak,망토,19093
beyond description,이루 형언할 수 없는,19093
retrieve,회수하다,19093
index,"지표, 색인",19093
embellish,윤색하다,19093
lawful,법칙적인,19093
investigate,"연구하다, 조사하다",19093
causal law,인과법칙,19093
barometric,기압의,19093
