insightful,통찰력 있는,21063
excuse,"핑계, 변명",21063
excessively,과도하게,21063
biased,편향된,21063
trade-off,"절충, 균형, 거래",21063
aggregate,합계의,21063
counsel against,~을 하지 말라고 충고[조언]하다,21063
chastity,"정결, (육체적) 순결",21063
receipt,"수신, 수령",21063
strike ~ as ...,~에게 ...이라는 인상[느낌]을 주다,21063
descendant,후손,21063
fond,"허황된, 애정어린",21063
conceit,생각,21063
dynamic,"역동성, 역학",21063
primeval,원시(시대)의,21063
admiration,감탄,21063
wilderness,"황야, 야생",21063
ecological,생태학의,21063
context,"환경, 상황",21063
robins,울새,21063
locality,장소,21063
supervision,"관리, 감독, 지휘",21063
hand out,"나눠주다, 건네주다",21063
subordinate,부하직원,21063
refer to A as B,A를 B라고 부르다,21063
responsiveness,반응성,21063
advantageous,"도움이 되는, 이득이 되는",21063
metabolism,신진대사,21063
inactivity,"무활동, 활발하지 않음",21063
hibernation,동면,21063
cost,~이 들다(대가로),21063
universality,"일반성, 보편성",21063
cetacean,"고래목의 동물, 고래류",21063
significance,"중요성, 의의",21063
aristocrat,귀족,21063
permanence,영구성,21063
patriotic,애국적인,21063
in that,"~이므로, ~라는 점에서",21063
extend,연장되다,21063
general interest,공공의 이익,21063
property,재산,21063
strength,강도(剛度),21063
determination,"결의, (공식적인) 결정",21063
in sum,요컨데,21063
circulate,"유통하다, 돌아다니다",21063
offence,"위법행위, 범죄",21063
incorporate,포함하다,21063
correspondence,"서신, 편지",21063
arbitary,임의의,21063
